"SalePrice","OverallCond","LotArea","YearBuilt","CentralAir","GarageFinish","GarageCars"
208500,5,8450,"New","Y","Y",2
181500,8,9600,"New","Y","Y",2
223500,5,11250,"New","Y","Y",2
140000,5,9550,"Old","Y","Y",3
250000,5,14260,"New","Y","Y",3
143000,5,14115,"New","Y","Y",2
307000,5,10084,"New","Y","Y",2
200000,6,10382,"New","Y","Y",2
129900,5,6120,"Old","Y","Y",2
118000,6,7420,"Old","Y","Y",1
129500,5,11200,"Old","Y","Y",1
345000,5,11924,"New","Y","Y",3
144000,6,12968,"Old","Y","Y",1
279500,5,10652,"New","Y","Y",3
157000,5,10920,"Old","Y","Y",1
132000,8,6120,"Old","Y","Y",2
149000,7,11241,"Old","Y","Y",2
90000,5,10791,"Old","Y","Y",2
159000,5,13695,"New","Y","Y",2
139000,6,7560,"Old","Y","Y",1
325300,5,14215,"New","Y","Y",3
139400,7,7449,"Old","Y","Y",1
230000,5,9742,"New","Y","Y",2
129900,7,4224,"New","Y","Y",2
154000,8,8246,"Old","Y","Y",1
256300,5,14230,"New","Y","Y",3
134800,7,7200,"Old","Y","Y",2
306000,5,11478,"New","Y","Y",3
207500,6,16321,"Old","Y","Y",1
68500,6,6324,"Old","N","Y",1
40000,4,8500,"Old","N","Y",1
149350,6,8544,"Old","Y","Y",1
179900,5,11049,"New","Y","Y",2
165500,5,10552,"Old","Y","Y",2
277500,5,7313,"New","Y","Y",2
309000,5,13418,"New","Y","Y",3
145000,5,10859,"New","Y","Y",2
153000,6,8532,"Old","Y","Y",2
109000,7,7922,"Old","Y","Y",1
82000,5,6040,"Old","N","N",0
160000,5,8658,"Old","Y","Y",2
170000,6,16905,"Old","Y","Y",1
144000,7,9180,"New","Y","Y",2
130250,6,9200,"New","Y","Y",1
141000,6,7945,"Old","Y","Y",1
319900,5,7658,"New","Y","Y",2
239686,5,12822,"New","Y","Y",2
249700,5,11096,"New","Y","Y",3
113000,5,4456,"Old","Y","N",0
127000,7,7742,"Old","Y","Y",1
177000,6,13869,"New","Y","Y",2
114500,6,6240,"Old","Y","Y",2
110000,5,8472,"Old","N","Y",2
385000,5,50271,"New","Y","Y",3
130000,5,7134,"Old","Y","Y",2
180500,5,10175,"Old","Y","Y",2
172500,5,2645,"New","Y","Y",2
196500,5,11645,"New","Y","Y",2
438780,5,13682,"New","Y","Y",3
124900,7,7200,"New","Y","Y",1
158000,5,13072,"New","Y","Y",2
101000,7,7200,"Old","N","Y",1
202500,5,6442,"New","Y","Y",2
140000,6,10300,"Old","Y","Y",2
219500,5,9375,"New","Y","Y",2
317000,5,9591,"New","Y","Y",3
180000,5,19900,"Old","Y","Y",2
226000,5,10665,"New","Y","Y",2
80000,6,4608,"Old","Y","Y",1
225000,4,15593,"Old","Y","Y",2
244000,6,13651,"New","Y","Y",2
129500,6,7599,"New","Y","Y",2
185000,5,10141,"New","Y","Y",2
144900,7,10200,"Old","Y","Y",2
107400,6,5790,"Old","N","Y",1
91000,5,1596,"New","Y","Y",1
135750,7,8475,"Old","Y","Y",1
127000,5,8635,"Old","Y","Y",1
136500,5,10778,"Old","N","N",0
110000,6,10440,"Old","Y","Y",2
193500,6,13000,"Old","Y","Y",1
153500,5,4500,"New","Y","Y",2
245000,5,10206,"New","Y","Y",3
126500,5,8892,"Old","Y","Y",2
168500,5,8530,"New","Y","Y",2
260000,5,16059,"New","Y","Y",2
174000,5,11911,"New","Y","Y",2
164500,5,3951,"New","Y","Y",2
85000,2,8470,"Old","N","N",0
123600,5,8070,"New","Y","N",0
109900,5,7200,"Old","Y","Y",2
98600,3,8500,"Old","Y","Y",2
163500,7,13360,"Old","Y","Y",2
133900,6,7200,"Old","N","Y",2
204750,5,9337,"New","Y","Y",2
185000,8,9765,"New","Y","Y",2
214000,5,10264,"New","Y","Y",2
94750,5,10921,"Old","Y","Y",1
83000,5,10625,"Old","N","Y",1
128950,5,9320,"Old","Y","N",0
205000,7,10603,"New","Y","Y",2
178000,5,9206,"New","Y","Y",2
118964,5,7018,"New","Y","Y",2
198900,5,10402,"New","Y","Y",3
169500,4,7758,"Old","Y","Y",1
250000,5,9375,"New","Y","Y",2
100000,7,10800,"Old","Y","Y",1
115000,5,6000,"Old","Y","Y",1
115000,7,8500,"Old","N","N",0
190000,6,11751,"New","Y","Y",2
136900,4,9525,"Old","Y","Y",1
180000,5,7750,"New","Y","Y",2
383970,5,9965,"New","Y","Y",3
217000,5,21000,"Old","Y","Y",2
259500,8,7259,"Old","Y","Y",1
176000,5,3230,"New","Y","Y",2
139000,5,11616,"Old","Y","Y",1
155000,5,8536,"New","Y","Y",2
320000,5,12376,"New","Y","Y",3
163990,5,8461,"New","Y","Y",2
180000,5,21453,"Old","Y","Y",2
100000,5,6060,"Old","Y","Y",1
136000,7,9464,"Old","Y","Y",1
153900,5,7892,"New","Y","Y",2
181000,5,17043,"New","Y","Y",2
84500,8,6780,"Old","N","N",0
128000,5,4928,"New","Y","Y",2
87000,7,4388,"Old","Y","N",0
155000,5,7590,"Old","Y","Y",2
150000,7,8973,"Old","Y","Y",2
226000,6,14200,"Old","Y","Y",2
244000,5,12224,"New","Y","Y",2
150750,6,7388,"Old","Y","Y",2
220000,5,6853,"New","Y","Y",2
180000,6,10335,"Old","Y","Y",2
174000,6,10400,"Old","Y","Y",2
143000,5,10355,"Old","Y","Y",1
171000,5,11070,"New","Y","Y",3
230000,5,9066,"New","Y","Y",3
231500,5,15426,"New","Y","Y",2
115000,5,10500,"New","Y","N",0
260000,5,11645,"New","Y","Y",2
166000,4,8520,"Old","Y","Y",2
204000,5,10335,"New","Y","Y",2
125000,5,9100,"Old","Y","Y",2
130000,5,2522,"New","Y","Y",2
105000,7,6120,"Old","Y","Y",1
222500,5,9505,"New","Y","Y",2
141000,5,7500,"New","Y","N",0
115000,4,6240,"Old","Y","Y",1
122000,6,10356,"New","Y","Y",2
372402,5,13891,"New","Y","Y",3
190000,5,14803,"New","Y","Y",2
235000,7,13500,"Old","Y","Y",2
125000,5,11340,"Old","Y","Y",1
79000,5,9600,"Old","N","N",0
109500,7,7200,"Old","Y","Y",2
269500,5,12003,"New","Y","Y",3
254900,5,12552,"New","Y","Y",2
320000,5,19378,"New","Y","Y",2
162500,6,11120,"New","Y","Y",2
412500,5,13688,"New","Y","Y",3
220000,5,12182,"New","Y","Y",2
103200,6,5500,"Old","Y","N",0
152000,7,5400,"Old","Y","Y",1
127500,7,10106,"Old","Y","N",0
190000,5,10708,"Old","Y","Y",1
325624,5,10562,"New","Y","Y",3
183500,5,8244,"New","Y","Y",2
228000,6,16669,"New","Y","Y",2
128500,6,12358,"Old","Y","Y",2
215000,5,31770,"Old","Y","Y",2
239000,7,5306,"New","Y","Y",2
163000,5,10197,"Old","Y","Y",2
184000,5,12416,"New","Y","Y",2
243000,7,12615,"Old","Y","Y",2
211000,5,10029,"New","Y","Y",2
172500,5,13650,"Old","Y","Y",2
501837,5,17423,"New","Y","Y",3
100000,6,8520,"Old","Y","Y",2
177000,5,2117,"New","Y","Y",2
200100,6,7588,"Old","Y","Y",1
120000,6,9060,"Old","Y","Y",1
200000,5,11426,"New","Y","Y",2
127000,8,7438,"Old","Y","Y",2
475000,9,22950,"Old","Y","Y",3
173000,5,9947,"New","Y","Y",2
135000,7,10410,"Old","Y","Y",1
153337,5,7018,"New","Y","Y",2
286000,5,4923,"New","Y","Y",2
315000,8,10570,"Old","Y","Y",2
184000,9,7472,"New","Y","Y",2
192000,5,9017,"New","Y","Y",2
130000,5,2522,"New","Y","Y",2
127000,7,7180,"New","Y","Y",1
148500,6,2280,"New","Y","Y",2
311872,5,9416,"New","Y","Y",3
235000,4,25419,"Old","Y","Y",2
104000,6,5520,"Old","Y","N",0
274900,5,9591,"New","Y","Y",3
140000,5,8546,"New","Y","Y",2
171500,6,10125,"New","Y","Y",2
112000,6,7000,"Old","Y","Y",1
149000,5,4438,"New","Y","Y",2
110000,7,3500,"Old","Y","Y",1
180500,5,11851,"New","Y","Y",2
143900,5,13673,"Old","Y","Y",1
141000,5,12493,"Old","Y","Y",1
277000,5,14364,"New","Y","Y",2
145000,7,8250,"Old","Y","Y",2
98000,6,5604,"Old","N","N",0
186000,5,10420,"New","Y","Y",2
252678,5,8640,"New","Y","Y",2
156000,5,13568,"New","Y","Y",2
161750,7,10900,"New","Y","Y",1
134450,6,10011,"Old","Y","Y",1
210000,5,8450,"New","Y","Y",2
107000,4,9906,"Old","N","Y",1
311500,9,15660,"Old","Y","Y",2
167240,5,3010,"New","Y","Y",2
204900,5,8990,"New","Y","Y",2
200000,5,8068,"New","Y","Y",2
179900,6,11475,"New","Y","Y",2
97000,6,10500,"New","Y","Y",2
386250,5,13472,"New","Y","Y",3
112000,5,1680,"New","Y","Y",1
290000,5,9950,"New","Y","Y",3
106000,6,1869,"Old","Y","Y",1
125000,5,8521,"Old","Y","Y",1
192500,5,3182,"New","Y","Y",2
148000,6,8760,"Old","Y","Y",1
403000,5,15138,"New","Y","Y",3
94500,5,1680,"New","Y","Y",1
128200,6,10650,"New","Y","Y",1
216500,5,7851,"New","Y","Y",2
89500,3,1680,"New","Y","Y",1
185500,5,8773,"New","Y","Y",2
194500,7,9453,"New","Y","Y",2
318000,5,12030,"New","Y","Y",3
113000,4,8741,"Old","Y","Y",1
262500,5,9000,"New","Y","Y",2
110500,9,3880,"Old","Y","N",0
79000,4,5000,"Old","N","Y",1
120000,6,10762,"New","Y","Y",1
205000,5,8880,"New","Y","Y",2
241500,5,10400,"New","Y","Y",2
137000,8,9142,"Old","N","Y",1
140000,5,11310,"Old","Y","Y",2
180000,5,11317,"New","Y","Y",2
277000,7,159000,"Old","Y","Y",2
76500,2,5350,"Old","Y","N",0
235000,5,4750,"New","Y","Y",2
173000,5,8366,"New","Y","Y",2
158000,7,9350,"Old","Y","Y",1
145000,6,8400,"Old","Y","Y",1
230000,5,8738,"New","Y","Y",2
207500,5,8791,"New","Y","Y",2
220000,5,8814,"New","Y","Y",2
231500,5,12435,"New","Y","Y",2
97000,5,12702,"Old","Y","Y",1
176000,5,19296,"Old","Y","Y",2
276000,5,9588,"New","Y","Y",3
151000,7,8471,"New","Y","Y",2
130000,7,5500,"Old","Y","Y",2
73000,5,5232,"Old","N","Y",2
175500,6,12090,"New","Y","Y",2
185000,5,11207,"New","Y","Y",2
179500,8,8400,"Old","Y","Y",1
120500,6,6900,"Old","Y","Y",1
148000,7,7917,"New","Y","Y",1
266000,5,10728,"New","Y","Y",3
241500,7,39104,"Old","Y","Y",2
290000,7,11764,"New","Y","Y",3
139000,6,9600,"Old","Y","Y",1
124500,7,8314,"New","Y","Y",1
205000,7,7264,"Old","N","Y",2
201000,5,9196,"New","Y","Y",2
141000,5,19138,"Old","Y","Y",2
415298,5,14450,"New","Y","Y",3
192000,5,10005,"New","Y","Y",2
228500,6,11287,"New","Y","Y",2
185000,5,7200,"New","Y","Y",2
207500,5,5063,"New","Y","Y",2
244600,5,9612,"New","Y","Y",3
179200,5,8012,"New","Y","Y",2
164700,5,4251,"New","Y","Y",2
159000,7,9786,"Old","Y","Y",2
88000,4,8125,"New","Y","N",0
122000,5,9819,"Old","Y","Y",1
153575,7,8730,"Old","Y","Y",1
233230,5,15611,"New","Y","Y",2
135900,6,5687,"Old","N","N",0
131000,4,11409,"Old","Y","Y",1
235000,7,16659,"New","Y","Y",2
167000,5,9600,"Old","Y","Y",2
142500,6,7937,"New","Y","Y",2
152000,5,13710,"Old","Y","Y",1
239000,5,7399,"New","Y","Y",2
175000,6,11700,"Old","Y","Y",2
158500,8,14000,"Old","Y","Y",1
157000,5,15750,"Old","Y","Y",1
267000,5,16226,"New","Y","Y",2
205000,5,13704,"New","Y","Y",3
149900,7,9800,"New","Y","Y",2
295000,9,18386,"Old","Y","Y",3
305900,5,10386,"New","Y","Y",3
225000,5,13474,"New","Y","Y",3
89500,7,7920,"Old","Y","N",0
82500,5,12342,"Old","Y","Y",2
360000,5,12378,"New","Y","Y",3
165600,5,7685,"New","Y","Y",2
132000,6,8000,"Old","Y","Y",1
119900,7,7800,"Old","Y","Y",2
375000,5,215245,"Old","Y","Y",2
178000,7,9600,"Old","Y","Y",2
188500,5,7795,"New","Y","Y",2
260000,7,13005,"New","Y","Y",2
270000,5,9000,"New","Y","Y",3
260000,5,9900,"New","Y","Y",3
187500,5,14115,"New","Y","Y",2
342643,5,16259,"New","Y","Y",3
354000,5,12099,"New","Y","Y",3
301000,5,10380,"New","Y","Y",2
126175,8,5820,"Old","Y","Y",1
242000,7,11275,"Old","Y","Y",2
87000,6,5000,"Old","N","Y",2
324000,5,10846,"New","Y","Y",2
145250,5,11600,"Old","Y","Y",1
214500,6,11888,"Old","N","Y",2
78000,5,6402,"Old","N","Y",1
119000,4,10624,"Old","Y","Y",1
139000,6,8176,"Old","Y","Y",1
284000,5,10655,"New","Y","Y",3
207000,5,8198,"New","Y","Y",2
192000,5,9042,"New","Y","Y",2
228950,6,164660,"Old","Y","Y",2
377426,5,14157,"New","Y","Y",3
214000,5,9135,"New","Y","Y",2
202500,7,14145,"New","Y","Y",2
155000,7,12400,"Old","Y","Y",1
202900,5,14191,"New","Y","Y",2
82000,4,8400,"Old","Y","Y",1
87500,4,8544,"Old","N","Y",2
266000,5,8849,"New","Y","Y",2
85000,3,2592,"New","Y","Y",1
140200,5,6435,"Old","Y","Y",1
151500,8,12772,"Old","Y","Y",1
157500,5,17600,"Old","Y","Y",2
154000,5,2448,"New","Y","Y",2
437154,5,20431,"New","Y","Y",3
318061,5,7820,"New","Y","Y",2
190000,5,5271,"New","Y","Y",2
95000,6,9084,"Old","N","Y",1
105900,8,8520,"Old","Y","Y",2
140000,5,8400,"Old","Y","Y",1
177500,5,11249,"New","Y","Y",2
173000,6,9248,"New","Y","Y",2
134000,5,4224,"New","Y","Y",2
130000,4,6930,"Old","Y","Y",1
280000,5,12011,"New","Y","Y",2
156000,6,7540,"New","Y","Y",2
145000,5,9144,"Old","Y","Y",1
198500,5,7301,"New","Y","Y",2
118000,8,1680,"New","Y","Y",1
190000,5,18800,"New","Y","Y",2
147000,7,10690,"Old","Y","Y",1
159000,5,9500,"Old","Y","Y",2
165000,5,9150,"Old","Y","Y",1
132000,6,7800,"Old","Y","Y",1
162000,7,9830,"Old","Y","Y",2
172400,5,8121,"New","Y","Y",2
134432,4,17120,"Old","Y","Y",2
125000,5,7175,"New","Y","Y",1
123000,6,10634,"Old","Y","Y",1
219500,5,8200,"New","Y","Y",2
61000,1,10020,"Old","N","N",0
148000,5,8846,"New","Y","Y",2
340000,5,11143,"New","Y","Y",2
394432,2,11394,"New","Y","Y",3
179000,5,8123,"New","Y","Y",2
127000,6,5000,"Old","Y","Y",1
187750,5,7200,"New","Y","Y",2
213500,5,9245,"New","Y","Y",2
76000,3,9000,"Old","N","Y",2
240000,5,53107,"New","Y","Y",2
192000,5,3182,"New","Y","Y",2
81000,3,8410,"Old","Y","N",0
125000,6,7200,"New","Y","Y",1
191000,5,9382,"New","Y","Y",2
426000,5,12474,"New","Y","Y",3
119000,8,8405,"Old","Y","Y",1
215000,5,12209,"New","Y","Y",2
106500,7,8339,"Old","Y","Y",1
100000,5,7446,"Old","Y","N",0
109000,6,10134,"Old","Y","Y",1
129000,6,9571,"Old","Y","Y",1
123000,5,7200,"New","Y","Y",2
169500,5,7590,"Old","Y","Y",1
67000,2,8967,"Old","Y","Y",1
241000,5,8125,"New","Y","Y",2
245500,5,14963,"New","Y","Y",2
164990,5,8767,"New","Y","Y",2
108000,8,10200,"Old","Y","Y",1
258000,5,12090,"New","Y","Y",2
168000,5,10364,"New","Y","Y",2
150000,4,9991,"New","Y","Y",2
115000,5,10480,"Old","Y","Y",1
177000,7,15576,"Old","Y","Y",1
280000,5,14154,"New","Y","Y",3
339750,5,10800,"New","Y","Y",3
60000,3,9571,"Old","Y","Y",1
145000,5,34650,"Old","N","Y",2
222000,5,4403,"New","Y","Y",2
115000,6,8960,"Old","Y","Y",2
228000,5,11228,"New","Y","Y",3
181134,5,8899,"New","Y","Y",2
149500,7,7844,"New","Y","Y",2
239000,6,22420,"Old","N","Y",3
126000,6,8160,"Old","N","Y",1
142000,6,8450,"Old","Y","Y",1
206300,5,7060,"New","Y","Y",4
215000,7,16635,"New","Y","Y",2
113000,5,21750,"Old","Y","Y",2
315000,5,9200,"New","Y","Y",3
139000,5,9000,"Old","Y","Y",1
135000,8,3378,"Old","Y","Y",1
275000,5,12800,"New","Y","Y",2
109008,6,8593,"Old","Y","Y",1
195400,5,6762,"New","Y","Y",2
175000,5,11457,"New","Y","Y",2
85400,5,1680,"New","Y","Y",1
79900,7,5586,"Old","Y","N",0
122500,5,1920,"New","Y","Y",2
181000,5,10839,"New","Y","Y",2
81000,7,1890,"New","Y","N",0
212000,6,10667,"New","Y","Y",2
116000,8,4400,"Old","Y","Y",2
119000,7,6000,"Old","Y","Y",1
90350,6,4280,"Old","N","Y",1
110000,8,12354,"Old","Y","Y",2
555000,5,15431,"New","Y","Y",3
118000,4,12108,"Old","N","N",0
162900,7,6240,"Old","Y","Y",2
172500,5,3922,"New","Y","Y",3
210000,5,8750,"New","Y","Y",2
127500,5,9855,"Old","Y","Y",2
190000,6,16492,"Old","Y","Y",2
199900,5,11214,"New","Y","Y",2
119500,6,8600,"Old","Y","Y",1
120000,7,6000,"Old","Y","Y",1
110000,8,5684,"Old","Y","Y",1
280000,5,70761,"New","Y","Y",2
204000,5,9303,"New","Y","Y",2
210000,5,9000,"New","Y","Y",2
188000,5,9297,"New","Y","Y",2
175500,6,9600,"New","Y","Y",2
98000,5,4571,"Old","N","Y",3
256000,6,53227,"Old","Y","Y",2
161000,7,5100,"Old","Y","Y",1
110000,4,7015,"Old","Y","Y",1
263435,5,8004,"New","Y","Y",2
155000,9,7200,"Old","Y","Y",2
62383,5,8281,"Old","Y","Y",1
188700,7,11988,"Old","Y","Y",1
124000,5,8430,"New","Y","N",0
178740,5,3072,"New","Y","Y",2
167000,5,10628,"Old","Y","Y",2
146500,7,9480,"Old","Y","Y",1
250000,5,11428,"New","Y","Y",3
187000,5,9291,"New","Y","Y",2
212000,5,6820,"New","Y","Y",2
190000,6,11952,"New","Y","Y",2
148000,5,3675,"New","Y","Y",2
440000,5,14977,"New","Y","Y",3
251000,5,5330,"New","Y","Y",2
132500,6,8480,"Old","Y","Y",2
208900,5,13125,"New","Y","Y",2
380000,5,13693,"New","Y","Y",3
297000,5,10637,"New","Y","Y",3
89471,7,5925,"Old","Y","Y",2
326000,5,16033,"New","Y","Y",3
374000,5,11846,"New","Y","Y",3
155000,8,2500,"Old","Y","Y",1
164000,5,4500,"New","Y","Y",2
